Topic,Subtopic,ShortQuestionText,Greater_Risk_Question,Description,Data_Value_Symbol,Data_Value_Type,Greater_Risk_Data_Value,Greater_Risk_Low_Confidence_Limit,Greater_Risk_High_Confidence_Limit,Lesser_Risk_Question,Lesser_Risk_Data_Value,Lesser_Risk_Data_Value_Footnote_Symbol,Lesser_Risk_Data_Value_Footnote,Lesser_Risk_Low_Confidence_Limit,Lesser_Risk_High_Confidence_Limit,Sample_Size,Sex,Race,Grade,SexualIdentity,SexOfSexualContacts
Unintentional Injuries and Violence,Suicide-Related Behaviors,Injurious suicide attempt,"Suicide attempt resulted in an injury, poisoning, or overdose that had to be treated by a doctor or nurse",during the 12 months before the survey,%,Percentage,0,0,0,"Suicide attempt did not result in an injury, poisoning, or overdose that had to be treated by a doctor or nurse",100,,,100,100,93,Total,Total,12th,Total,No sexual contact
Alcohol and Other Drug Use,Other Drug Use,Initiation of marijuana use,Tried marijuana for the first time before age 13 years,"also called grass, pot, or weed",%,Percentage,0,0,0,Did not try marijuana for the first time before age 13 years,100,,,100,100,30,Male,Hispanic or Latino,12th,Total,Opposite sex only
Alcohol and Other Drug Use,Other Drug Use,Ever heroin use,Ever used heroin,"also called ""smack,"" ""junk,"" or ""China White,"" one or more times during their life",%,Percentage,0,0,0,Never used heroin,100,,,100,100,37,Total,White,12th,Heterosexual (straight),Total
Tobacco Use,Cigarette Use,Current daily cigarette use,Currently smoked cigarettes daily,on all 30 days during the 30 days before the survey,%,Percentage,0,0,0,Did not currently smoke cigarettes daily,100,,,100,100,108,Total,Hispanic or Latino,12th,Heterosexual (straight),Total
Tobacco Use,Other Tobacco Use,Current daily electronic vapor product use,Currently used an electronic vapor product daily,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on all 30 days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently use an electronic vapor product daily,100,,,100,100,53,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Alcohol and Other Drug Use,Other Drug Use,Ever ecstasy use,Ever used ecstasy,"also called ""MDMA,"" one or more times during their life",%,Percentage,0,0,0,Never used ecstasy,100,,,100,100,58,Female,Black or African American,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Suicide-Related Behaviors,Injurious suicide attempt,"Suicide attempt resulted in an injury, poisoning, or overdose that had to be treated by a doctor or nurse",during the 12 months before the survey,%,Percentage,0,0,0,"Suicide attempt did not result in an injury, poisoning, or overdose that had to be treated by a doctor or nurse",100,,,100,100,44,Total,Black or African American,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,Current daily electronic vapor product use,Currently used an electronic vapor product daily,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on all 30 days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently use an electronic vapor product daily,100,,,100,100,30,Total,Black or African American,12th,Total,No sexual contact
Sexual Behaviors,Sexual Behaviors,Sex before 13 years,Had sexual intercourse for the first time before age 13 years,NULL,%,Percentage,0,0,0,Did not have sexual intercourse for the first time before age 13 years,100,,,100,100,31,Female,Hispanic or Latino,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,Frequent smokeless tobacco use,Currently frequently used smokeless tobacco,"chewing tobacco, snuff, dip, snus, or dissolvable tobacco products, such as Redman, Levi Garrett, Beechnut, Skoal, Skoal Bandits, Copenhagen, Camel Snus, Marlboro Snus, General Snus, Ariva, Stonewall, or Camel Orbs, not counting any electronic vapor produc",%,Percentage,0,0,0,Did not currently frequently use smokeless tobacco,100,,,100,100,40,Male,Total,12th,Total,No sexual contact
Tobacco Use,Cigarette Use,Frequent cigarette use,Currently frequently smoked cigarettes,on 20 or more days during the 30 days before the survey,%,Percentage,0,0,0,Did not currently frequently smoke cigarettes,100,,,100,100,52,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Dietary Behaviors,Fruit and fruit juices,No fruit consumption,Did not eat fruit or drink 100% fruit juices,"such as orange juice, apple juice, or grape juice, not counting punch, Kool-Aid, sports drinks, or other fruit-flavored drinks, during the 7 days before the survey",%,Percentage,0,0,0,Ate fruit or drank 100% fruit juices,100,,,100,100,34,Total,Asian,12th,Heterosexual (straight),Total
Alcohol and Other Drug Use,Other Drug Use,Ever synthetic marijuana use,Ever used synthetic marijuana,"also called ""K2,"" ""Spice,"" ""fake weed,"" ""King Kong,"" ""Yucatan Fire,"" ""Skunk,"" or ""Moon Rocks,"" one or more times during their life",%,Percentage,0,0,0,Never used synthetic marijuana,100,,,100,100,36,Total,White,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Weapon carrying at school,Carried a weapon on school property,"such as a gun, knife, or club, on at least 1 day during the 30 days before the survey",%,Percentage,0,0,0,Did not carry a weapon on school property,100,,,100,100,47,Male,Total,12th,Total,No sexual contact
Tobacco Use,Other Tobacco Use,Current smokeless tobacco use,Currently used smokeless tobacco,"chewing tobacco, snuff, dip, snus, or dissolvable tobacco products, such as Redman, Levi Garrett, Beechnut, Skoal, Skoal Bandits, Copenhagen, Camel Snus, Marlboro Snus, General Snus, Ariva, Stonewall, or Camel Orbs, not counting any electronic vapor produc",%,Percentage,0,0,0,Did not currently use smokeless tobacco,100,,,100,100,31,Female,Black or African American,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,Current daily electronic vapor product use,Currently used an electronic vapor product daily,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on all 30 days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently use an electronic vapor product daily,100,,,100,100,105,Total,Total,12th,Total,No sexual contact
Tobacco Use,Cigarette Use,Frequent cigarette use,Currently frequently smoked cigarettes,on 20 or more days during the 30 days before the survey,%,Percentage,0,0,0,Did not currently frequently smoke cigarettes,100,,,100,100,40,Male,Total,12th,Total,No sexual contact
Alcohol and Other Drug Use,Other Drug Use,Ever inhalant use,Ever used inhalants,"sniffed glue, breathed the contents of aerosol spray cans, or inhaled any paints or sprays to get high, one or more times during their life",%,Percentage,0,0,0,Never used inhalants,100,,,100,100,51,Female,Total,12th,Total,No sexual contact
Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently frequently smoke cigars,100,,,100,100,97,Total,Total,12th,Total,No sexual contact
Other Health Topics,Oral Health Care,No oral health care,Never saw a dentist,"for a check-up, exam, teeth cleaning, or other dental work",%,Percentage,0,0,0,NULL,100,,,100,100,48,Male,Black or African American,12th,Heterosexual (straight),Total
Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently frequently smoke cigars,100,,,100,100,39,Male,Hispanic or Latino,12th,Heterosexual (straight),Total
Tobacco Use,Other Tobacco Use,Current daily smokeless tobacco use,Currently used smokeless tobacco daily,"chewing tobacco, snuff, dip, snus, or dissolvable tobacco products, such as Redman, Levi Garrett, Beechnut, Skoal, Skoal Bandits, Copenhagen, Camel Snus, Marlboro Snus, General Snus, Ariva, Stonewall, or Camel Orbs, not counting any electronic vapor produc",%,Percentage,0,0,0,Did not currently use smokeless tobacco daily,100,,,100,100,37,Total,Black or African American,12th,Total,No sexual contact
